Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Lakme,"Lakme Hydrating & Exfoliating Lip Scrub
with Hyaluronic Acid for Soft Luscious
Lips (15 g)",Makeup,Lips,349,314,10,4.3,358,11,,In Stock,High,35
Lakme,"Lakme Fashionista's Fix Collection (5
pcs)",Kits & Combos,Combo,2445,1764,28,4.3,157251,13708,,In Stock,High,681
Lakme,"Lakme Vit C + Serum + Spf 50 Sunscreen
Combo (2 pcs)",Kits & Combos,Combo,1274,1147,10,4.3,46339,2361,,In Stock,High,127
Lakme,"Lakme 9 to 5 Eye Color Quartet Eye
Shadow - Desert Rose (7gm)",Makeup,Eyes,675,452,33,4.3,1400,203,,In Stock,High,223
Lakme,"Lakme 9To5 Vitamin C AM PM Routine Combo
(50gm)",Kits & Combos,Combo,1533,1380,10,4.3,28012,2129,,In Stock,High,153
Lakme,"Lakme Absolute Makeup Master Tools -
Dual Ended Sided Beauty Blender (1 g)",Makeup,Tools,399,319,20,4.3,272,7,,In Stock,High,80
Lakme,"Lakme CC Tinted Serum with 2% Hyaluronic
Acid - Crème (30ml)",Skin Care,Serums,699,629,10,4.5,293,119,,In Stock,High,70
Lakme,Lakme Eye Catchy Combo (3 pcs),Kits & Combos,Combo,550,523,5,4.3,86245,7984,,In Stock,High,27
Lakme,"Lakme CC Tinted Serum with 2% Hyaluronic
Acid - Latte (30ml)",Skin Care,Serums,699,629,10,4.5,293,119,,In Stock,High,70
Lakme,"Lakme Sun Expert SPF 50 PA+++ Ultra
Matte Lotion Sunscreen - Pack Of 2 (2
pcs)",Kits & Combos,Combo,1250,1126,10,4.3,50974,2777,,In Stock,High,124
Lakme,"Lakme Glycolic Illuminate Facewash With
Glycolic Acid For Gentle Exfoliation &
Illuminated Skin (100ml)",Skin Care,Cleansers,329,280,15,4.5,400,113,,In Stock,High,49
Lakme,Lakme Sun Expert De Tan Scrub (50gm),Skin Care,Cleansers,175,0,0,4.4,2742,154,,In Stock,High,175
Lakme,"Lakme Lumi-Smooth AHA+ Facewash with 2%
Salicylic & Lactic Acid for Glowing Skin
(100 g)",Skin Care,Cleansers,249,224,10,4.6,232,104,,In Stock,High,25
Lakme,"Lakme Hyaluronic Dewy Micro Essence with
4% Hyaluronic Acid (100ml)",Others,Others,699,629,10,4.8,142,106,,In Stock,High,70
Lakme,"Lakme Absolute Perfect Radiance AM PM
Routine (3 pcs)",Kits & Combos,Combo,1623,1461,10,4.3,59612,3311,,In Stock,High,162
Lakme,"Lakme Primer & Matte Festive Lips Combo
(2 pcs)",Kits & Combos,Combo,1198,719,40,4.2,73067,3405,,In Stock,High,479
Lakme,"Lakme Unreal Gel Stylist Nail Care Oil
(12ml)",Skin Care,Moisturizers,399,319,20,4.4,284,15,,In Stock,High,80
Lakme,"Lakme Facewash Strawberry + Kiwi + Lemon
Combo (3 pcs)",Kits & Combos,Combo,797,677,15,4.4,18758,1159,,In Stock,High,120
Lakme,"Lakme 9 To 5 Primer + Matte Powder
Compact Silky Golden & W120 Warm Creme
Foundation Combo (2 pcs)",Kits & Combos,Combo,1348,809,40,4.3,95728,5744,,In Stock,High,539
